JOB_ID,SITE,CPU,STATUS,MEMORY,CORES,FLOPS,EXECUTION_TIME,IO_SIZE,IO_TIME
6089452829,BNL,cpu-963,finished,0.0,3,1142550244800.0,672.088379294118,1901052300000.0,2533.4250595081
6089452828,BNL,cpu-963,finished,0.0,5,15953097336000.0,9384.17490352941,5901052300000.0,4502.92823805263
6089452827,BNL,cpu-963,finished,0.0,5,9351757939200.0,5501.03408188235,4901052300000.0,2646.30746922874
6089452826,BNL,cpu-964,finished,0.0,31,34910352023040.0,29091.9600192,1901052300000.0,409.767806882591
